iter	Passed	Remaining
0	147	147569
1	148	74014
2	148	49483
3	149	37200
4	149	29834
5	150	24918
6	150	21407
7	151	18775
8	151	16727
9	152	15089
10	152	13750
11	153	12634
12	153	11690
13	154	10881
14	155	10178
15	155	9563
16	156	9022
17	156	8538
18	157	8110
19	157	7725
20	158	7376
21	158	7057
22	159	6768
23	160	6531
24	161	6289
25	161	6064
26	162	5859
27	163	5663
28	163	5480
29	164	5312
30	164	5152
31	165	5001
32	165	4860
33	166	4726
34	166	4600
35	167	4482
36	167	4369
37	168	4262
38	168	4161
39	169	4065
40	169	3973
41	170	3885
42	170	3803
43	171	3725
44	171	3649
45	172	3577
46	172	3507
47	173	3441
48	174	3379
49	174	3318
50	175	3259
51	175	3203
52	176	3149
53	176	3096
54	177	3046
55	177	2997
56	178	2950
57	178	2905
58	179	2861
59	179	2819
60	180	2777
61	180	2737
62	181	2698
63	181	2660
64	182	2624
65	182	2588
66	183	2554
67	183	2521
68	184	2488
69	185	2457
70	185	2427
71	186	2397
72	186	2368
73	187	2340
74	187	2312
75	188	2286
76	188	2259
77	189	2235
78	190	2217
79	190	2193
80	191	2169
81	191	2147
82	192	2122
83	192	2100
84	193	2079
85	193	2057
86	194	2037
87	194	2016
88	195	1996
89	195	1977
90	196	1958
91	196	1940
92	197	1922
93	197	1904
94	198	1886
95	198	1869
96	199	1852
97	199	1837
98	200	1821
99	200	1805
100	201	1790
101	201	1775
102	202	1760
103	202	1745
104	203	1731
105	203	1717
106	204	1705
107	204	1691
108	205	1678
109	205	1665
110	206	1653
111	206	1640
112	207	1628
113	207	1616
114	208	1604
115	208	1592
116	209	1580
117	209	1568
118	210	1557
119	210	1545
120	211	1534
121	211	1523
122	212	1512
123	212	1502
124	213	1491
125	213	1481
126	214	1471
127	214	1461
128	215	1452
129	215	1442
130	216	1433
131	216	1424
132	217	1414
133	217	1405
134	218	1396
135	218	1388
136	219	1379
137	219	1371
138	220	1363
139	220	1355
140	221	1347
141	221	1338
142	222	1330
143	222	1323
144	223	1315
145	223	1307
146	224	1299
147	224	1292
148	224	1285
149	225	1277
150	225	1270
151	226	1263
152	226	1256
153	227	1249
154	227	1242
155	228	1236
156	229	1229
157	229	1223
158	230	1216
159	230	1210
160	230	1202
161	231	1196
162	231	1190
163	232	1183
164	232	1177
165	233	1171
166	233	1165
167	234	1159
168	234	1154
169	235	1148
170	235	1143
171	236	1138
172	237	1133
173	237	1127
174	238	1122
175	238	1116
176	239	1111
177	239	1106
178	240	1100
179	240	1095
180	241	1090
181	241	1085
182	242	1080
183	242	1075
184	243	1070
185	243	1065
186	244	1060
187	244	1056
188	245	1051
189	245	1046
190	245	1041
191	246	1037
192	246	1032
193	247	1027
194	247	1023
195	248	1018
196	248	1014
197	249	1010
198	250	1006
199	250	1002
200	251	998
201	251	994
202	252	990
203	252	986
204	253	982
205	253	977
206	254	973
207	254	969
208	255	965
209	255	961
210	256	957
211	256	953
212	257	949
213	257	946
214	258	942
215	258	938
216	259	935
217	259	931
218	260	927
219	260	923
220	261	920
221	261	916
222	261	912
223	262	909
224	262	905
225	263	902
226	263	898
227	264	895
228	265	892
229	265	889
230	266	886
231	266	882
232	267	879
233	267	876
234	268	872
235	268	869
236	269	866
237	269	863
238	270	859
239	270	856
240	270	853
241	271	850
242	271	847
243	272	844
244	273	841
245	273	838
246	274	835
247	274	832
248	275	829
249	275	826
250	275	823
251	276	820
252	276	817
253	277	814
254	277	811
255	278	808
256	278	806
257	279	803
258	280	801
259	280	798
260	281	796
261	281	793
262	282	790
263	282	788
264	283	785
265	283	782
266	284	779
267	284	777
268	285	774
269	285	772
270	286	769
271	286	767
272	287	764
273	287	762
274	288	759
275	288	757
276	289	754
277	289	752
278	290	750
279	290	748
280	291	746
281	292	743
282	292	741
283	293	738
284	293	736
285	294	734
286	294	732
287	295	730
288	295	727
289	296	725
290	296	723
291	297	721
292	297	718
293	298	716
294	298	714
295	299	712
296	299	709
297	300	707
298	300	705
299	301	703
300	301	701
301	302	699
302	302	696
303	303	694
304	303	692
305	304	690
306	304	688
